zip_code	count_incidents
NULL	767
75001	4
75006	7
75007	2
75019	63
75032	1
75040	14
75041	1
75042	27
75043	9
75048	3
75050	1
75051	89
75052	10
75060	4
75061	1
75062	6
75074	3
75080	11
75081	3
75082	1
75087	1
75088	30
75089	15
75115	10
75116	57
75126	2
75134	50
75137	3
75141	1
75149	18
75150	14
75154	3
75159	8
75180	5
75181	4
75201	3822
75202	2344
75203	3576
75204	6409
75205	617
75206	5404
75207	2207
75208	4462
75209	1767
75210	2486
75211	8144
75212	3954
75214	3045
75215	5992
75216	9916
75217	12143
75218	2758
75219	3705
75220	8950
75223	2324
75224	5016
75225	1806
75226	2003
75227	7836
75228	9849
75229	5443
75230	1845
75231	6856
75232	3863
75233	1924
75234	697
75235	3521
75236	2044
75237	5493
75238	3987
75240	4762
75241	5673
75243	10308
75244	1039
75246	565
75247	2718
75248	2063
75249	1126
75251	1080
75252	1491
75253	2207
75254	2297
75287	4404
76018	1
